hour,icetemp
1,0.5
2,0.5
3,0.5
4,0.5
5,0.5
6,0.5
7,0.5
8,0.5
9,0.5
10,0.5
11,0.5
12,0.5
13,0.5
14,0.5
15,0.5
16,0.5
17,0.5
18,0.5
19,0.5
20,0.5
21,0.5
22,0.5
23,0.5
24,0.5
25,0.5
26,0.5
27,0.5
28,0.5
29,0.5
30,0.5
31,0.5
32,0.5
33,0.5
34,0.5
35,0.5
36,0.5
37,0.5
38,0.5
39,0.5
40,0.5
41,0.5
42,0.5
43,0.5
44,0.5
45,0.5
46,0.5
47,0.5
48,0.5
49,0.5
50,0.5
51,0.5
52,0.5
53,0.5
54,0.5
55,0.5
56,0.5
57,0.5
58,0.5
59,0.5
60,0.5
61,0.5
62,0.5
63,0.5
64,0.5
65,0.5
66,0.5
67,0.5
68,0.5
69,0.5
70,0.5
71,0.5
72,0.5
73,-3
74,-3
75,-3
76,-3
77,-3
78,-3
79,-3
80,-3
81,-3
82,-3
83,-3
84,-3
85,-3
86,-3
87,-3
88,-3
89,-3
90,-3
91,-3
92,-3
93,-3
94,-3
95,-3
96,-3
97,-3
98,-3
99,-3
100,-3
101,-3
102,-3
103,-3
104,-3
105,-3
106,-3
107,-3
108,-3
109,-3
110,-3
111,-3
112,-3
113,-3
114,-3
115,-3
116,-3
117,-3
118,-3
119,-3
120,-3
121,-3
122,-3
123,-3
124,-3
125,-3
126,-3
127,-3
128,-3
129,-3
130,-3
131,-3
132,-3
133,-3
134,-3
135,-3
136,-3
137,-3
138,-3
139,-3
140,-3
141,-3
142,-3
143,-3
144,-3
145,0.5
146,0.5
147,0.5
148,0.5
149,0.5
150,0.5
151,0.5
152,0.5
153,0.5
154,0.5
155,0.5
156,0.5
157,0.5
158,0.5
159,0.5
160,0.5
161,0.5
162,0.5
163,0.5
164,0.5
165,0.5
166,0.5
167,0.5
168,0.5
169,0.5
170,0.5
171,0.5
172,0.5
173,0.5
174,0.5
175,0.5
176,0.5
177,0.5
178,0.5
179,0.5
180,0.5
181,0.5
182,0.5
183,0.5
184,0.5
185,0.5
186,0.5
187,0.5
188,0.5
189,0.5
190,0.5
191,0.5
192,0.5
193,0.5
194,0.5
195,0.5
196,0.5
197,0.5
198,0.5
199,0.5
200,0.5
201,0.5
202,0.5
203,0.5
204,0.5
205,0.5
206,0.5
207,0.5
208,0.5
209,0.5
210,0.5
211,0.5
212,0.5
213,0.5
214,0.5
215,0.5
216,0.5
217,-3
218,-3
219,-3
220,-3
221,-3
222,-3
223,-3
224,-3
225,-3
226,-3
227,-3
228,-3
229,-3
230,-3
231,-3
232,-3
233,-3
234,-3
235,-3
236,-3
237,-3
238,-3
239,-3
240,-3